key,group,A_l2_delta,A_l2_ratio,A_mad,A_cos,numel,B_l2_delta,B_l2_ratio,B_mad,B_cos,B_over_A_ratio
transformer_blocks.0.ff.net.0.proj.bias,transformer_blocks.0.ff,0.0,0.0,0.0,1.0000001192092896,6144,0.7544135451316833,0.46100524067878723,0.006313614081591368,0.9124653339385986,461005240678.78723
transformer_blocks.0.ff.net.0.proj.weight,transformer_blocks.0.ff,0.0,0.0,0.0,1.0,9437184,35.19975662231445,0.4746361970901489,0.008228800259530544,0.882379412651062,474636197090.1489
transformer_blocks.0.ff.net.2.bias,transformer_blocks.0.ff,0.0,0.0,0.0,1.0,1536,0.49626249074935913,0.9209503531455994,0.008773203007876873,0.7039431929588318,920950353145.5994
transformer_blocks.0.ff.net.2.weight,transformer_blocks.0.ff,0.0,0.0,0.0,0.9999999403953552,9437184,41.71103286743164,0.5300775766372681,0.010112347081303596,0.8577672839164734,530077576637.26807
transformer_blocks.0.ff_context.net.0.proj.bias,transformer_blocks.0.ff_context,0.0,0.0,0.0,0.9999998807907104,6144,1.2535278797149658,0.6110916137695312,0.012879504822194576,0.8374749422073364,611091613769.5312
transformer_blocks.0.ff_context.net.0.proj.weight,transformer_blocks.0.ff_context,0.0,0.0,0.0,1.0000001192092896,9437184,68.75577545166016,0.4369107782840729,0.017462681978940964,0.9000511765480042,436910778284.0729
transformer_blocks.0.ff_context.net.2.bias,transformer_blocks.0.ff_context,0.0,0.0,0.0,1.0000001192092896,1536,0.5350297093391418,0.3902904689311981,0.01059575192630291,0.9212490320205688,390290468931.1981
transformer_blocks.0.ff_context.net.2.weight,transformer_blocks.0.ff_context,0.0,0.0,0.0,1.0,9437184,60.976051330566406,0.4108203947544098,0.015336818061769009,0.9117169976234436,410820394754.4098
transformer_blocks.0.norm1.linear.bias,transformer_blocks.0.norm1,0.0,0.0,0.0,1.0,13824,2.0183258056640625,0.5545995831489563,0.010406134650111198,0.8489689230918884,554599583148.9563
transformer_blocks.0.norm1.linear.weight,transformer_blocks.0.norm1,0.0,0.0,0.0,1.0000001192092896,21233664,32.9200553894043,0.6179701089859009,0.003502898383885622,0.8100029826164246,617970108985.9009
transformer_blocks.0.norm1_context.linear.bias,transformer_blocks.0.norm1_context,0.0,0.0,0.0,0.9999998807907104,9216,1.4024453163146973,0.4354528486728668,0.00991797260940075,0.9005529284477234,435452848672.8668
