group,tensors,numel_sum,B_l2_delta_sum,B_l2_ratio_mean
transformer_blocks.14.norm1_context,2,14164992,26.021277904510494,0.2370833232998848
transformer_blocks.16.norm1_context,2,14164992,25.91921806335449,0.1955528259277343
transformer_blocks.13.norm1_context,2,14164992,24.19452667236328,0.1984658688306808
transformer_blocks.12.norm1_context,2,14164992,23.740391492843628,0.2084725350141525
transformer_blocks.22.ff_context,4,18882048,23.365207821130756,0.3183702826499939
transformer_blocks.20.ff_context,4,18882048,23.316611871123317,0.4078906551003456
transformer_blocks.9.norm1_context,2,14164992,22.953547477722168,0.2883260995149612
transformer_blocks.2.norm1_context,2,14164992,22.707783937454224,0.3744371384382248
transformer_blocks.11.norm1_context,2,14164992,22.489076852798465,0.2176515460014343
transformer_blocks.6.norm1_context,2,14164992,22.465428113937374,0.3396821618080139
transformer_blocks.7.norm1_context,2,14164992,22.397379636764526,0.3091153800487518
transformer_blocks.1.norm1_context,2,14164992,22.39129614830017,0.3078831434249878
transformer_blocks.5.norm1_context,2,14164992,22.085575342178345,0.3533554077148437
transformer_blocks.4.norm1_context,2,14164992,21.88358783721924,0.3353742808103561
transformer_blocks.10.norm1_context,2,14164992,21.775080919265747,0.2346495613455772
transformer_blocks.19.norm1_context,2,14164992,21.66883492469788,0.2083536386489868
transformer_blocks.8.norm1_context,2,14164992,21.40398478507996,0.2519809007644653
transformer_blocks.17.norm1_context,2,14164992,20.74394798278809,0.2421171516180038
transformer_blocks.3.norm1_context,2,14164992,20.735284566879272,0.3350570350885391
transformer_blocks.21.ff_context,4,18882048,20.301415495574474,0.3517626002430916
transformer_blocks.15.norm1_context,2,14164992,19.638457775115967,0.2449108660221099
transformer_blocks.18.norm1_context,2,14164992,16.156043529510498,0.223633773624897
transformer_blocks.20.norm1_context,2,14164992,14.72381043434143,0.2519376650452614
transformer_blocks.22.norm1_context,2,14164992,13.816010355949402,0.3844783008098602
transformer_blocks.21.norm1_context,2,14164992,13.114166259765623,0.2960226237773895
transformer_blocks.23.norm1_context,2,4721664,10.344377934932709,0.4608158767223358
proj_out.bias,1,64,0.0,0.0
norm_out.linear.bias,1,3072,0.0,0.0
norm_out.linear.weight,1,4718592,0.0,0.0
pos_embed.pos_embed,1,226492416,0.0,0.0
pos_embed.proj.bias,1,1536,0.0,0.0
pos_embed.proj.weight,1,98304,0.0,0.0
time_text_embed.text_embedder.linear_1,2,3147264,0.0,0.0
proj_out.weight,1,98304,0.0,0.0
time_text_embed.text_embedder.linear_2,2,2360832,0.0,0.0
time_text_embed.timestep_embedder.linear_1,2,394752,0.0,0.0
time_text_embed.timestep_embedder.linear_2,2,2360832,0.0,0.0
context_embedder.weight,1,6291456,0.0,0.0
context_embedder.bias,1,1536,0.0,0.0
